Date_Time,EnsNo,BT1Depth,BT2Depth,BT3Depth,BT4Depth,BTDepth,AltiDepth,AltiDepthQ,BeamDepth,DEPTH,D_Source,VEast,VNorth,Vel_avg,Dir_avg,Range,BTEast,BTNorth,GPSEast,GPSNorth,LAT,LON,GPSHeading,GPSBearing,DistTravelled,SHeading,SPitch,SRoll,STempC,fom1,fom2,fom3,fom4,SoundSpd,Valid,CorrSrc,BT1Vel,BT2Vel,BT3Vel,BT4Vel
2021-06-16T17:29:43.43,0,48.699,46.714,45.821,47.508,47.147,19.197,13373,19.958,47.147,2,0.143,0.136,0.197,46.6,81,0.113,0.101,0.028,-0.112,46.33049585,-79.40307748,213.47,-32768.00,0.00,168.07,-0.87,-1.86,20.05,552,510,494,538,1460.00,0,BT,-3.396,-3.408,-3.413,-3.400
2021-06-16T17:29:44.43,1,46.814,44.630,45.226,46.615,45.784,19.212,12911,20.019,45.784,2,0.134,0.115,0.177,49.2,79,0.106,0.083,-0.035,-0.095,46.33049487,-79.40307715,214.36,176.64,0.13,170.35,-0.82,-1.79,20.06,560,539,539,541,1460.00,0,BT,-3.436,-3.442,-3.442,-3.441
2021-06-16T17:29:45.43,2,47.806,44.332,44.829,46.317,45.788,0.600,12474,20.026,45.788,2,0.134,0.112,0.174,50.0,79,0.110,0.078,-0.016,-0.086,46.33049719,-79.40307060,215.12,195.68,0.27,171.84,-0.61,-1.70,20.05,479,409,419,460,1460.00,0,BT,-3.394,-3.410,-3.409,-3.401
2021-06-16T17:29:46.43,3,43.836,44.531,45.226,46.417,44.973,19.243,13008,20.047,44.973,2,0.133,0.106,0.170,51.6,77,0.110,0.060,-0.001,-0.112,46.33049337,-79.40307749,215.92,178.24,0.39,172.54,-0.63,-1.77,20.05,246,244,246,247,1460.00,0,BT,-3.475,-3.475,-3.474,-3.476
2021-06-16T17:29:47.43,4,47.806,44.531,44.630,46.714,45.889,19.227,13025,20.101,45.889,2,0.108,0.095,0.144,48.8,79,0.109,0.068,-0.025,-0.092,46.33049254,-79.40307701,216.76,183.18,0.52,174.34,-0.55,-1.63,20.05,476,425,434,461,1460.00,0,BT,-3.440,-3.456,-3.452,-3.448
2021-06-16T17:29:48.43,5,48.997,44.432,44.928,46.515,46.183,19.289,13062,20.063,46.183,2,0.111,0.109,0.155,45.5,79,0.115,0.100,-0.005,-0.115,46.33049116,-79.40307733,217.55,194.67,0.68,174.84,-0.66,-1.64,20.05,648,500,508,573,1460.00,0,BT,-3.423,-3.459,-3.457,-3.444
2021-06-16T17:29:49.43,6,47.409,44.432,45.324,46.317,45.832,19.334,12870,20.078,45.832,2,0.129,0.114,0.172,48.6,79,0.132,0.082,0.012,-0.115,46.33048944,-79.40307805,218.44,172.10,0.83,175.69,-0.79,-1.86,20.05,524,425,462,492,1460.00,0,BT,-3.429,-3.451,-3.441,-3.436
2021-06-16T17:29:50.43,7,49.096,42.347,45.226,46.417,45.736,19.368,12754,20.140,45.736,2,0.135,0.093,0.164,55.3,79,0.105,0.045,-0.049,-0.075,46.33048953,-79.40307751,219.22,197.17,0.95,177.86,-0.43,-1.60,20.05,242,224,227,225,1460.00,0,BT,-3.473,-3.478,-3.477,-3.476
2021-06-16T17:29:51.43,8,48.699,53.672,44.432,46.317,48.277,19.363,12762,20.103,48.277,2,0.150,0.117,0.190,52.0,83,0.135,0.085,-0.008,-0.121,46.33048794,-79.40307796,219.94,191.09,1.11,178.49,-0.60,-1.66,20.04,605,218,469,525,1460.00,0,BT,-3.409,-3.453,-3.437,-3.425
2021-06-16T17:29:52.43,9,48.798,58.833,44.928,46.515,49.779,19.368,13159,20.124,49.779,2,0.162,0.111,0.197,55.6,86,0.163,0.088,-0.013,-0.110,46.33048615,-79.40307863,220.80,176.74,1.29,179.64,-0.73,-1.84,20.03,606,267,506,564,1460.00,0,BT,-3.408,-3.460,-3.431,-3.420
2021-06-16T17:29:53.43,10,48.997,61.810,44.928,46.317,50.535,19.253,13009,20.180,50.535,2,0.148,0.107,0.183,54.1,87,0.106,0.079,-0.030,-0.088,46.33048549,-79.40307775,221.52,189.16,1.42,180.62,-0.62,-1.59,20.03,556,498,449,512,1460.00,0,BT,-3.427,-3.447,-3.454,-3.442
2021-06-16T17:29:54.43,11,49.096,55.955,45.324,46.417,49.203,19.404,13075,20.185,49.203,2,0.115,0.080,0.140,55.2,85,0.102,0.036,-0.005,-0.105,46.33048474,-79.40307817,222.12,198.29,1.53,182.21,-0.56,-1.58,20.03,249,248,247,246,1460.00,0,BT,-3.490,-3.484,-3.484,-3.486
2021-06-16T17:29:55.43,12,48.897,53.672,45.424,46.218,48.550,19.421,12606,20.191,48.550,2,0.108,0.069,0.128,57.4,84,0.095,0.049,-0.001,-0.116,46.33048311,-79.40307832,222.93,175.38,1.64,182.52,-0.67,-1.64,20.02,217,242,223,222,1460.00,0,BT,-3.470,-3.460,-3.471,-3.471
2021-06-16T17:29:56.43,13,48.798,61.115,45.226,46.020,50.310,19.458,12916,20.217,50.310,2,0.121,0.097,0.155,51.5,87,0.116,0.078,-0.020,-0.110,46.33048175,-79.40307850,223.72,183.68,1.78,183.77,-0.72,-1.65,20.02,572,478,494,511,1460.00,0,BT,-3.418,-3.444,-3.441,-3.437
2021-06-16T17:29:57.43,14,48.500,61.214,44.233,46.218,50.062,0.600,12456,20.229,50.062,2,0.144,0.106,0.178,53.6,86,0.121,0.073,-0.014,-0.110,46.33048272,-79.40307160,224.50,183.85,1.92,184.85,-0.69,-1.71,20.02,520,437,420,469,1460.00,0,BT,-3.467,-3.487,-3.489,-3.481
2021-06-16T17:29:58.43,15,48.202,49.107,43.935,46.118,46.822,20.119,12920,20.250,46.822,2,0.118,0.086,0.146,54.1,81,0.079,0.042,-0.017,-0.098,46.33047960,-79.40307928,225.27,183.13,2.01,185.72,-0.63,-1.71,20.02,259,256,253,257,1460.00,0,BT,-3.488,-3.458,-3.488,-3.488
2021-06-16T17:29:59.43,16,44.233,44.134,44.035,46.218,44.626,20.175,12728,20.267,44.626,2,0.134,0.058,0.146,66.5,77,0.116,0.043,-0.022,-0.090,46.33047850,-79.40307939,225.95,190.52,2.13,187.15,-0.65,-1.67,20.02,239,238,241,244,1460.00,0,BT,-3.487,-3.487,-3.487,-3.484
2021-06-16T17:30:00.43,17,55.062,54.069,44.531,46.020,49.906,20.193,12805,20.282,49.906,2,0.169,0.043,0.175,75.7,86,0.172,0.007,-0.002,-0.120,46.33047706,-79.40307986,226.70,183.38,2.30,187.98,-0.74,-1.74,20.01,234,223,460,504,1460.00,0,BT,-3.475,-3.475,-3.444,-3.428
2021-06-16T17:30:01.43,18,54.466,56.252,44.531,46.118,50.337,19.516,12972,20.302,50.337,2,0.193,0.024,0.194,82.9,87,0.165,0.001,-0.013,-0.095,46.33047610,-79.40307935,227.42,186.90,2.47,189.21,-0.71,-1.64,20.01,250,213,462,521,1460.00,0,BT,-3.461,-3.460,-3.427,-3.412
2021-06-16T17:30:02.43,19,61.412,55.062,44.233,45.920,51.645,19.563,12840,20.323,51.645,2,0.155,-0.042,0.161,105.3,89,0.110,-0.131,-0.010,-0.082,46.33047578,-79.40307977,228.07,187.12,2.64,190.34,-0.53,-1.70,20.01,490,231,588,295,1460.00,0,BT,-3.469,-3.511,-3.334,-3.508
2021-06-16T17:30:03.43,20,54.665,61.612,44.035,46.317,51.669,20.272,12892,20.334,51.669,2,0.137,-0.033,0.140,103.5,89,0.127,0.008,-0.001,-0.118,46.33047410,-79.40308086,228.75,181.13,2.77,191.93,-0.68,-1.85,20.01,242,483,426,501,1460.00,0,BT,-3.466,-3.429,-3.442,-3.426
2021-06-16T17:30:04.43,21,62.107,61.512,45.226,45.920,53.694,20.279,13308,20.359,53.694,2,0.140,0.046,0.148,71.9,93,0.122,0.038,-0.011,-0.098,46.33047300,-79.40308047,229.44,182.28,2.90,192.65,-0.70,-1.74,20.01,227,222,223,223,1460.00,0,BT,-3.513,-3.514,-3.512,-3.513
2021-06-16T17:30:05.43,22,63.199,53.771,44.134,46.020,51.752,20.312,12612,20.384,51.752,2,0.153,0.084,0.174,61.3,89,0.152,0.082,-0.015,-0.086,46.33047187,-79.40308051,230.17,186.59,3.07,192.53,-0.73,-1.70,20.01,611,271,465,531,1460.00,0,BT,-3.459,-3.510,-3.498,-3.485
2021-06-16T17:30:06.43,23,63.695,61.810,44.432,46.118,54.016,20.255,12792,20.405,54.016,2,0.243,0.075,0.255,72.8,94,0.221,0.052,-0.013,-0.108,46.33047106,-79.40308060,230.87,177.96,3.29,194.46,-0.64,-1.73,20.01,587,516,480,674,1460.00,0,BT,-3.441,-3.462,-3.468,-3.377
